seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
57,42.6,745.84,16.0,42.6,745.84,0.0,0.0
58,14.0,18.8,16.0,14.0,18.8,0.0,0.0
59,24.8,178.96,4.0,26.0,46.8,4.838709677419351,73.84890478319178
60,36.8,1117.36,64.0,41.4,351.43999999999994,12.500000000000004,68.5472900408105
61,32.4,393.03999999999996,4.0,33.8,363.36,4.320987654320984,7.551394260126184
62,29.4,571.4399999999999,0.0,31.0,306.8,5.4421768707483045,46.311073778524424
63,31.6,329.03999999999996,8.0,32.0,300.8,1.265822784810122,8.5825431558473
64,29.8,300.16,8.0,30.6,185.44,2.684563758389264,38.21961620469084
65,32.4,225.84,8.0,32.4,225.84,0.0,0.0
66,22.8,336.96000000000004,32.0,23.4,235.83999999999997,2.6315789473684115,30.009496676163355
67,26.2,206.16000000000003,64.0,27.4,67.44,4.580152671755722,67.28754365541329
68,27.2,250.16,8.0,28.2,150.16,3.6764705882352944,39.974416373520945
69,36.0,697.6,64.0,38.8,398.15999999999997,7.77777777777777,42.92431192660551
70,29.6,381.44000000000005,64.0,30.6,265.03999999999996,3.378378378378378,30.515939597315455
71,21.6,761.8399999999999,32.0,24.6,272.64,13.888888888888888,64.21295810143862
72,38.4,937.8399999999999,16.0,43.2,354.16,12.500000000000012,62.23662884927065
73,18.2,141.76,32.0,18.4,107.44000000000001,1.098901098901095,24.20993227990969
74,48.0,1438.8,8.0,48.8,582.1600000000001,1.6666666666666607,59.538504309146504
75,29.2,362.56,64.0,30.0,134.0,2.739726027397263,63.0406001765225
76,25.8,481.36,32.0,27.0,302.8,4.651162790697671,37.094897789596146
77,40.2,1631.3600000000001,0.0,41.6,1091.04,3.482587064676613,33.12083169870538
78,25.2,337.76,64.0,25.8,210.96000000000004,2.3809523809523867,37.541449549976306
79,11.4,25.839999999999996,16.0,11.4,25.839999999999996,0.0,0.0
80,51.2,910.1600000000001,32.0,52.4,94.24,2.3437499999999916,89.64577656675749
81,38.0,1140.8,64.0,40.6,136.64000000000001,6.842105263157897,88.02244039270687
82,17.6,100.24000000000001,64.0,17.6,100.24000000000001,0.0,0.0
83,27.0,185.2,16.0,27.6,68.24,2.2222222222222276,63.15334773218143
84,25.2,282.16,2.0,26.2,137.35999999999999,3.9682539682539684,51.31840090728665
85,17.2,42.160000000000004,4.0,17.2,42.160000000000004,0.0,0.0
86,30.4,114.64000000000001,2.0,31.2,44.56,2.6315789473684235,61.13049546406141
87,23.4,106.24000000000001,2.0,24.0,74.4,2.5641025641025705,29.96987951807229
88,36.2,402.15999999999997,0.0,37.6,246.24,3.867403314917123,38.77063855182016
89,36.0,195.2,0.0,37.6,173.44,4.444444444444448,11.147540983606554
90,30.2,864.1599999999999,4.0,31.6,154.24,4.635761589403981,82.15145343454915
91,23.8,378.16,64.0,24.2,199.76,1.680672268907557,47.17579860376561
92,27.8,453.36,64.0,29.0,252.8,4.316546762589925,44.23857420151756
93,33.4,255.04000000000002,0.0,35.0,149.2,4.790419161676652,41.49937264742787
94,22.6,31.839999999999996,0.0,22.6,17.04,0.0,46.482412060301506
95,20.8,160.95999999999998,8.0,20.8,160.95999999999998,0.0,0.0
96,34.2,671.3599999999999,64.0,35.6,546.64,4.093567251461984,18.57721639656815
97,42.2,186.16000000000003,0.0,43.2,156.56,2.3696682464454977,15.900300816501943
99,22.0,162.8,64.0,22.8,93.76,3.63636363636364,42.40786240786241
