w_variance,w_mean,w_ede,p90,p95,pct_within_sla,courier_gini,max,method,routing_calls,seed
21.130829625284694,10.739264009905877,11.160321611470414,16.200000000000003,18.099999999999994,48.03602508006788,0.23455710955710973,20.0,min_sum,11120,17
13.671078488090094,11.349047894472026,11.623707252644062,16.0,18.049999999999997,47.05502417197662,0.20371853546910756,19.0,ours,5040,18
22.065999576743103,9.289015779382254,9.774599837546173,15.100000000000001,17.099999999999994,62.032280802080685,0.2945592286501377,20.0,ours_ede,5120,18
31.858246522110857,10.074162098294785,10.710061936665658,19.0,21.049999999999997,71.87461129619068,0.2987623762376239,23.0,coverage_max,9280,18
19.462064737287058,9.370296689942261,9.806784139626709,14.100000000000001,16.049999999999997,61.56128945084297,0.2828512396694216,21.0,weighted_centroid,40,18
22.065999576743103,9.289015779382254,9.774599837546173,15.100000000000001,17.099999999999994,62.032280802080685,0.2945592286501377,20.0,min_sum,9280,18
27.396787053315585,13.670345191451364,14.129204738711106,23.1,25.14999999999999,29.74684360369917,0.21098949211908935,28.0,ours,5600,19
35.361040816657564,11.924572239110173,12.550262359065275,23.0,24.19999999999999,47.12529190774715,0.2725000000000002,29.0,ours_ede,5960,19
35.361040816657564,11.924572239110173,12.550262359065275,23.0,24.19999999999999,47.12529190774715,0.2725000000000002,29.0,coverage_max,13880,19
34.04990383780689,12.200235698438902,12.788461079014564,22.0,25.049999999999997,44.171963252263474,0.26025390625,26.0,weighted_centroid,40,19
34.94083636161245,12.479956667701947,13.074535070516932,20.200000000000003,23.049999999999997,38.775874891736684,0.2575301204819278,27.0,min_sum,13880,19
15.541798607925443,19.073917600255303,19.26894349092474,24.0,24.049999999999997,1.123007300418687,0.12107712765957457,30.0,ours,5480,20
21.34826432636629,9.44671163991373,9.91611626299099,15.200000000000003,18.099999999999994,69.52229880370457,0.3069327731092437,21.0,ours_ede,5800,20
21.34826432636629,9.44671163991373,9.91611626299099,15.200000000000003,18.099999999999994,69.52229880370457,0.3069327731092437,21.0,coverage_max,11560,20
20.00811766568098,11.953908548020015,12.330446104003258,18.0,21.099999999999994,41.40380264699569,0.2279157667386611,23.0,weighted_centroid,40,20
