variance,mean,max,total,spread,jain,gini,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,seed
5.36,7.8,11.0,39.0,7.0,0.9190332326283988,0.16410256410256419,7.9552869775265105,2.75,True,5.36,geometric_median,4.6499990276061e-05,5,,8.571428571428571,0.06010936370827347,2
11.360000000000001,7.2,11.0,36.0,10.0,0.8202531645569621,0.24444444444444446,7.504213480106274,11.0,True,11.360000000000001,min_sum,0.007230000002891757,1380,,19.285714285714285,0.0,2
0.56,8.8,10.0,44.0,2.0,0.9928205128205129,0.045454545454545414,8.815868501705474,1.25,True,0.56,min_max,0.006640899999183603,1380,,0.0,0.1747891401379248,2
0.56,8.8,10.0,44.0,2.0,0.9928205128205129,0.045454545454545414,8.815868501705474,1.25,True,0.56,min_range,0.00674569999682717,1380,,0.0,0.1747891401379248,2
0.56,8.8,10.0,44.0,2.0,0.9928205128205129,0.045454545454545414,8.815868501705474,1.25,True,0.56,random,0.003700000001117587,500,,0.0,0.1747891401379248,2
0.56,8.8,10.0,44.0,2.0,0.9928205128205129,0.045454545454545414,8.815868501705474,1.25,True,0.56,exhaustive,0.005892300003324635,1380,,0.0,0.1747891401379248,2
11.360000000000001,7.2,11.0,36.0,10.0,0.8202531645569621,0.24444444444444446,7.504213480106274,11.0,True,11.360000000000001,exhaustive_ede,0.00604350000503473,1380,,19.285714285714285,0.0,2
60.4,15.0,26.0,75.0,21.0,0.7883672039243167,0.2826666666666666,15.801919740605742,5.2,True,60.4,ours,0.0062507999973604456,780,166.0,0.0,0.0700886106306844,3
72.96000000000001,13.8,24.0,69.0,20.0,0.723006833712984,0.33043478260869574,14.766926386864796,6.0,True,72.96000000000001,ours_ede,0.0056942000082926825,780,166.0,0.20794701986754982,0.0,3
101.84,13.6,27.0,68.0,25.0,0.6449093444909344,0.4058823529411766,14.821272874197371,13.5,True,101.84,centroid,3.6999990697950125e-06,5,,0.6860927152317882,0.0036802842994406912,3
80.96000000000001,13.8,26.0,69.0,22.0,0.7016949152542373,0.3536231884057972,14.845332625681708,6.5,True,80.96000000000001,weighted_centroid,1.030000566970557e-05,5,,0.34039735099337765,0.005309584185823171,3
112.96000000000001,13.8,28.0,69.0,28.0,0.627686222808174,0.42898550724637685,15.088284175241105,inf,True,112.96000000000001,geometric_median,2.19999928958714e-05,5,,0.870198675496689,0.021761995689377665,3
72.96000000000001,13.8,24.0,69.0,20.0,0.723006833712984,0.33043478260869574,14.766926386864796,6.0,True,72.96000000000001,min_sum,0.00805239999317564,1945,,0.20794701986754982,0.0,3
72.96000000000001,13.8,24.0,69.0,20.0,0.723006833712984,0.33043478260869574,14.766926386864796,6.0,True,72.96000000000001,min_max,0.008101599989458919,1945,,0.20794701986754982,0.0,3
72.96000000000001,13.8,24.0,69.0,20.0,0.723006833712984,0.33043478260869574,14.766926386864796,6.0,True,72.96000000000001,min_range,0.008309400000143796,1945,,0.20794701986754982,0.0,3
61.2,15.0,25.0,75.0,22.0,0.7861635220125787,0.29333333333333345,15.784016621319687,8.333333333333334,True,61.2,random,0.0031008000078145415,500,,0.013245033112582853,0.06887623109976318,3
60.4,15.0,26.0,75.0,21.0,0.7883672039243167,0.2826666666666666,15.801919740605742,5.2,True,60.4,exhaustive,0.008513699998729862,1945,,0.0,0.0700886106306844,3
72.96000000000001,13.8,24.0,69.0,20.0,0.723006833712984,0.33043478260869574,14.766926386864796,6.0,True,72.96000000000001,exhaustive_ede,0.009171999990940094,1945,,0.20794701986754982,0.0,3
352.64,31.6,51.0,158.0,44.0,0.7390171699230313,0.3164556962025318,33.59770632357337,7.285714285714286,True,352.64,ours,0.0064242999942507595,785,167.0,0.0,0.019038495013465967,4
412.64,30.6,62.0,153.0,54.0,0.6941141586360267,0.36339869281045756,32.97000700952852,7.75,True,412.64,ours_ede,0.008565600001020357,845,179.0,0.17014519056261343,0.0,4
685.4399999999999,32.6,74.0,163.0,69.0,0.6079167143347443,0.44171779141104306,35.888749906840566,14.8,True,685.4399999999999,centroid,4.3000036384910345e-06,5,,0.9437386569872958,0.08852721494625432,4
481.03999999999996,33.4,63.0,167.0,55.0,0.698709758236252,0.36167664670658684,35.89710133076847,7.875,True,481.03999999999996,weighted_centroid,9.399998816661537e-06,5,,0.3641107078039927,0.08878051862087871,4
575.4399999999999,32.6,67.0,163.0,60.0,0.6487364180197778,0.4049079754601228,35.48876965438864,9.571428571428571,True,575.4399999999999,geometric_median,5.640000745188445e-05,5,,0.6318058076225044,0.07639557504892798,4
503.75999999999993,30.2,69.0,151.0,61.0,0.644187032066676,0.40000000000000013,33.01842150994462,8.625,True,503.75999999999993,min_sum,0.010451499998453073,2180,,0.42853901996370225,0.0014684407074013865,4
352.64,31.6,51.0,158.0,44.0,0.7390171699230313,0.3164556962025318,33.59770632357337,7.285714285714286,True,352.64,min_max,0.010786500002723187,2180,,0.0,0.019038495013465967,4
385.84000000000003,35.4,55.0,177.0,44.0,0.764588163514338,0.2870056497175142,37.415873835248014,5.0,True,385.84000000000003,min_range,0.010349499993026257,2180,,0.09414700544464623,0.13484579558732307,4
392.9600000000001,34.8,55.0,174.0,46.0,0.7550124688279302,0.3034482758620689,36.86892937678326,6.111111111111111,True,392.9600000000001,random,0.003759400002309121,500,,0.11433756805807653,0.11825664356479884,4
352.64,31.6,51.0,158.0,44.0,0.7390171699230313,0.3164556962025318,33.59770632357337,7.285714285714286,True,352.64,exhaustive,0.010053700010757893,2180,,0.0,0.019038495013465967,4
412.64,30.6,62.0,153.0,54.0,0.6941141586360267,0.36339869281045756,32.97000700952852,7.75,True,412.64,exhaustive_ede,0.010995799995725974,2180,,0.17014519056261343,0.0,4
53.04,56.6,64.0,283.0,21.0,0.9837130749861819,0.0664310954063605,56.825377493138454,1.4883720930232558,True,53.04,ours,0.007237600002554245,920,194.0,0.0,0.4508005967439327,5
311.04,37.4,68.0,187.0,48.0,0.8180839864311615,0.25026737967914436,39.16828930224666,3.4,True,311.04,ours_ede,0.007410099991830066,950,200.0,4.864253393665159,0.0,5
358.24,39.4,74.0,197.0,57.0,0.8124986915105202,0.24771573604060926,41.34755217699439,4.352941176470588,True,358.24,centroid,4.699992132373154e-06,5,,5.754147812971342,0.05563844920392597,5
157.2,42.0,60.0,210.0,33.0,0.9181761399125546,0.1657142857142857,42.86026968021603,2.2222222222222223,True,157.2,weighted_centroid,9.499999578110874e-06,5,,1.9638009049773755,0.09425942372616197,5
217.44,40.6,62.0,203.0,46.0,0.8834601779397577,0.193103448275862,41.76166780204914,3.875,True,217.44,geometric_median,6.0000005760230124e-05,5,,3.0995475113122173,0.0662111760815074,5
311.04,37.4,68.0,187.0,48.0,0.8180839864311615,0.25026737967914436,39.16828930224666,3.4,True,311.04,min_sum,0.013666500002727844,3120,,4.864253393665159,0.0,5
57.44,42.4,49.0,212.0,20.0,0.9690383786114705,0.09245283018867934,42.719835717320926,1.6896551724137931,True,57.44,min_max,0.013748299999861047,3120,,0.08295625942684763,0.09067402427684144,5
57.44,42.4,49.0,212.0,20.0,0.9690383786114705,0.09245283018867934,42.719835717320926,1.6896551724137931,True,57.44,min_range,0.014073500002268702,3120,,0.08295625942684763,0.09067402427684144,5
53.04,56.6,64.0,283.0,21.0,0.9837130749861819,0.0664310954063605,56.825377493138454,1.4883720930232558,True,53.04,random,0.0035401999921305105,500,,0.0,0.4508005967439327,5
53.04,56.6,64.0,283.0,21.0,0.9837130749861819,0.0664310954063605,56.825377493138454,1.4883720930232558,True,53.04,exhaustive,0.015141300013056025,3120,,0.0,0.4508005967439327,5
311.04,37.4,68.0,187.0,48.0,0.8180839864311615,0.25026737967914436,39.16828930224666,3.4,True,311.04,exhaustive_ede,0.019095600000582635,3120,,4.864253393665159,0.0,5
440.55999999999995,32.8,60.0,164.0,51.0,0.7094697968873648,0.35121951219512204,35.19234028512194,6.666666666666667,True,440.55999999999995,ours,0.00792129999899771,715,153.0,0.0,0.0579124673553262,6
536.64,30.4,63.0,152.0,54.0,0.6326396495071194,0.39210526315789473,33.26583377271204,7.0,True,536.64,ours_ede,0.005446800001664087,705,151.0,0.21808607227165439,0.0,6
