seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
53,27.6,801.04,0.0,28.8,133.36,4.347826086956519,83.35164286427644
54,22.2,254.95999999999998,64.0,22.8,213.76000000000005,2.7027027027027093,16.159397552557238
55,24.4,392.23999999999995,0.0,24.8,378.56000000000006,1.639344262295091,3.487660615949392
56,11.0,49.2,0.0,11.0,6.0,0.0,87.80487804878048
58,14.6,22.24,0.0,15.2,12.959999999999999,4.109589041095888,41.72661870503597
59,21.6,587.4399999999999,8.0,23.6,369.44,9.25925925925926,37.110172953833576
60,30.4,449.43999999999994,32.0,31.8,208.95999999999998,4.605263157894744,53.5065859736561
61,28.6,372.64,32.0,28.6,372.64,0.0,0.0
62,13.0,93.2,16.0,13.6,39.440000000000005,4.615384615384612,57.682403433476395
63,35.4,250.63999999999996,32.0,36.8,127.35999999999999,3.9548022598870016,49.18608362591765
64,24.6,222.64000000000001,32.0,25.6,88.24,4.0650406504065035,60.36651095939635
65,33.0,440.4,8.0,34.0,363.2,3.0303030303030303,17.529518619436875
66,35.2,1888.5600000000002,8.0,40.4,1027.44,14.77272727272726,45.596645062905075
67,26.2,696.56,32.0,28.4,271.43999999999994,8.396946564885495,61.031354082921794
68,16.2,50.96,16.0,16.2,49.36,0.0,3.139717425431714
69,7.6,6.640000000000001,2.0,7.8,3.7600000000000002,2.6315789473684235,43.37349397590362
70,28.2,670.5599999999998,64.0,29.8,254.56000000000003,5.6737588652482325,62.037699832975406
71,12.4,111.04000000000003,64.0,12.4,111.04000000000003,0.0,0.0
72,22.8,409.36000000000007,16.0,23.6,260.24,3.5087719298245643,36.42759429353137
73,15.2,83.76,32.0,15.2,83.76,0.0,0.0
74,14.4,109.04000000000003,16.0,14.8,86.56,2.7777777777777803,20.616287600880433
75,27.8,642.5600000000001,64.0,30.0,322.8,7.913669064748199,49.763446215139446
76,22.8,183.76000000000002,8.0,22.8,183.76000000000002,0.0,0.0
77,27.0,1332.0,0.0,28.8,631.76,6.666666666666669,52.570570570570574
78,9.8,109.35999999999999,16.0,10.2,78.96,4.0816326530612095,27.79809802487198
79,10.8,19.76,8.0,10.8,19.76,0.0,0.0
80,43.2,638.1600000000001,16.0,44.4,321.44000000000005,2.777777777777768,49.63018678701266
81,34.2,523.36,64.0,36.0,308.0,5.263157894736834,41.14949556710486
82,34.0,1177.2,0.0,36.0,663.6,5.882352941176471,43.6289500509684
83,26.8,1214.96,64.0,32.4,535.04,20.895522388059693,55.96233620859946
84,18.0,814.0,64.0,18.8,322.96000000000004,4.444444444444448,60.32432432432432
85,19.8,203.35999999999999,32.0,19.8,203.35999999999999,0.0,0.0
86,10.0,146.0,16.0,10.0,116.8,0.0,20.000000000000004
87,7.2,18.160000000000004,32.0,7.2,18.160000000000004,0.0,0.0
88,28.4,1796.2399999999998,32.0,31.4,622.6400000000001,10.563380281690142,65.33648064846568
89,24.4,434.64,2.0,24.8,367.76000000000005,1.639344262295091,15.387447082643092
90,9.4,43.440000000000005,16.0,9.4,33.84,0.0,22.099447513812155
91,10.8,101.36,32.0,10.8,101.36,0.0,0.0
92,27.8,573.36,16.0,29.2,38.160000000000004,5.035971223021577,93.3444956048556
93,22.8,364.1600000000001,0.5,23.8,169.35999999999999,4.385964912280701,53.492970123022864
94,17.0,405.2,64.0,18.0,208.0,5.882352941176471,48.667324777887465
95,12.8,79.75999999999999,8.0,13.4,64.64,4.687499999999997,18.956870611835498
96,23.8,346.16,64.0,25.0,261.6,5.042016806722686,24.42801016870811
97,33.0,1449.2,64.0,35.8,1009.76,8.484848484848476,30.322936792713225
98,80.6,1679.0400000000002,0.0,80.6,1679.0400000000002,0.0,0.0
99,13.6,59.44,16.0,13.6,59.44,0.0,0.0
