seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
42,22.6,275.43999999999994,64.0,22.6,275.43999999999994,0.0,0.0
43,25.8,420.56000000000006,0.0,26.4,218.24,2.325581395348829,48.10728552406316
44,17.0,166.0,16.0,17.2,157.76000000000002,1.17647058823529,4.963855421686735
45,36.6,313.84000000000003,32.0,37.0,279.6,1.092896174863384,10.910017843487129
46,20.8,52.56,8.0,21.6,41.839999999999996,3.8461538461538494,20.395738203957393
47,31.0,238.4,4.0,31.4,82.24,1.2903225806451568,65.503355704698
48,28.8,387.76000000000005,16.0,29.6,197.44,2.7777777777777803,49.081906333814736
49,58.0,1238.8,32.0,61.0,202.8,5.172413793103448,83.62931869551178
50,24.6,173.04000000000002,0.5,25.0,96.0,1.6260162601625958,44.521497919556175
51,10.2,18.96,16.0,10.2,18.96,0.0,0.0
53,16.4,98.24000000000001,32.0,16.4,98.24000000000001,0.0,0.0
55,23.0,633.2,16.0,25.8,242.56000000000003,12.173913043478263,61.692987997473146
56,23.2,67.76,0.0,23.2,67.76,0.0,0.0
57,40.8,817.76,0.0,41.4,422.64,1.4705882352941213,48.31735472510272
59,25.8,851.3600000000002,64.0,28.2,186.16,9.302325581395342,78.13380943431687
60,28.8,334.16,32.0,28.8,334.16,0.0,0.0
61,27.8,513.76,8.0,28.6,308.24,2.8776978417266212,40.003114294612274
63,37.0,628.4,8.0,38.8,496.96000000000004,4.864864864864857,20.91661362189687
64,36.4,236.64000000000001,0.0,36.4,236.64000000000001,0.0,0.0
65,34.4,408.24,4.0,35.8,255.75999999999993,4.069767441860461,37.35057809131885
66,22.2,357.36,1.0,22.8,206.56,2.7027027027027093,42.19834340720842
67,25.0,180.8,32.0,25.6,59.839999999999996,2.4000000000000057,66.90265486725663
68,19.2,169.36,16.0,19.8,158.16,3.1250000000000075,6.613131790269259
69,65.6,977.04,16.0,69.2,516.16,5.487804878048794,47.17104724473921
71,22.2,872.5599999999998,64.0,24.6,311.84000000000003,10.810810810810821,64.26148345099476
72,44.0,1224.0,32.0,50.0,662.8,13.636363636363637,45.84967320261438
73,14.6,120.63999999999999,16.0,15.0,86.0,2.739726027397263,28.713527851458878
75,23.6,281.04,64.0,23.8,125.75999999999999,0.847457627118641,55.25192143467123
76,19.6,430.64,32.0,21.0,111.6,7.142857142857135,74.08508266765743
77,41.0,1717.2,8.0,41.8,1223.76,1.951219512195115,28.73515024458421
79,11.2,26.560000000000002,4.0,11.4,22.639999999999997,1.7857142857142954,14.759036144578332
80,48.2,647.76,8.0,50.0,89.2,3.73443983402489,86.22946770408792
81,34.2,280.55999999999995,64.0,35.4,120.63999999999999,3.5087719298245488,57.000285143997715
82,11.4,39.440000000000005,32.0,11.4,39.440000000000005,0.0,0.0
83,28.0,429.6,16.0,29.0,364.8,3.5714285714285716,15.083798882681565
84,35.2,879.7599999999999,64.0,37.8,541.76,7.38636363636362,38.419568973356355
85,15.2,125.76000000000002,0.0,15.6,82.64000000000001,2.6315789473684235,34.28753180661577
87,22.6,252.64000000000001,64.0,22.6,252.64000000000001,0.0,0.0
88,42.6,1466.2400000000002,64.0,45.6,775.4399999999999,7.04225352112676,47.113705805325196
89,39.6,472.23999999999995,16.0,39.6,472.23999999999995,0.0,0.0
90,30.4,444.23999999999995,64.0,30.4,444.23999999999995,0.0,0.0
91,14.4,154.24000000000004,0.0,15.8,62.160000000000004,9.722222222222223,59.699170124481334
92,25.2,449.36,64.0,26.6,288.64,5.555555555555565,35.76642335766424
93,52.4,844.24,0.0,55.0,253.2,4.961832061068705,70.00852838055529
94,23.6,292.64,32.0,24.8,187.76,5.0847457627118615,35.83925642427556
95,25.8,993.36,8.0,26.8,341.36,3.875968992248062,65.63582185713135
96,25.4,193.04,16.0,25.6,132.24,0.7874015748031609,31.496062992125974
97,38.4,413.43999999999994,0.0,39.2,319.75999999999993,2.0833333333333446,22.65866873065016
98,73.2,454.56000000000006,0.0,76.2,267.76,4.098360655737705,41.09468497008097
99,12.8,65.36,32.0,12.8,65.36,0.0,0.0
